name,provider_series_slug,scoreboard_candidate_url,status
Indonesia Women in Malaysia T20I Series 2026,24401,https://site.api.espn.com/apis/site/v2/sports/cricket/24401/scoreboard,requires-series-validation
Zimbabwe Women in Pakistan T20I Series 2026,24352,https://site.api.espn.com/apis/site/v2/sports/cricket/24352/scoreboard,requires-series-validation
New Zealand A Women in Sri Lanka unofficial ODI Series 2026,24381,https://site.api.espn.com/apis/site/v2/sports/cricket/24381/scoreboard,requires-series-validation
New Zealand Women in England ODI Series 2026,23816,https://site.api.espn.com/apis/site/v2/sports/cricket/23816/scoreboard,requires-series-validation
Denmark Women in Greece T20I Series 2026,24353,https://site.api.espn.com/apis/site/v2/sports/cricket/24353/scoreboard,requires-series-validation
Pakistan in Bangladesh Test Series 2026,24325,https://site.api.espn.com/apis/site/v2/sports/cricket/24325/scoreboard,requires-series-validation
Finland in Cyprus T20I Series 2026,24335,https://site.api.espn.com/apis/site/v2/sports/cricket/24335/scoreboard,requires-series-validation
Bulgaria in Romania T20I Series 2026,24359,https://site.api.espn.com/apis/site/v2/sports/cricket/24359/scoreboard,requires-series-validation
Hong Kong Women's T20I Tri-Series,24412,https://site.api.espn.com/apis/site/v2/sports/cricket/24412/scoreboard,requires-series-validation
Gibraltar in Malta T20I Series 2026,24317,https://site.api.espn.com/apis/site/v2/sports/cricket/24317/scoreboard,requires-series-validation
Zimbabwe Women in Pakistan ODI Series 2026,24355,https://site.api.espn.com/apis/site/v2/sports/cricket/24355/scoreboard,requires-series-validation
Cricket Ireland Women's Super T20 Series 2026,,,missing-provider-slug-do-not-request
Isle of Man in Guernsey T20I Series 2026,24337,https://site.api.espn.com/apis/site/v2/sports/cricket/24337/scoreboard,requires-series-validation
Indonesia in Malaysia T20I Series 2026,24339,https://site.api.espn.com/apis/site/v2/sports/cricket/24339/scoreboard,requires-series-validation
Austria in Germany T20I Series 2026,24341,https://site.api.espn.com/apis/site/v2/sports/cricket/24341/scoreboard,requires-series-validation
Sri Lanka Women in Bangladesh T20I Series 2026,24241,https://site.api.espn.com/apis/site/v2/sports/cricket/24241/scoreboard,requires-series-validation
New Zealand in Bangladesh T20I Series 2026,24242,https://site.api.espn.com/apis/site/v2/sports/cricket/24242/scoreboard,requires-series-validation
Chile Women in Costa Rica T20I Series 2026,24308,https://site.api.espn.com/apis/site/v2/sports/cricket/24308/scoreboard,requires-series-validation
United Arab Emirates in Nepal T20I Series 2026,24320,https://site.api.espn.com/apis/site/v2/sports/cricket/24320/scoreboard,requires-series-validation
Sri Lanka Women in Bangladesh ODI Series 2026,24243,https://site.api.espn.com/apis/site/v2/sports/cricket/24243/scoreboard,requires-series-validation
ICC Women's T20I Challenge Trophy,24411,https://site.api.espn.com/apis/site/v2/sports/cricket/24411/scoreboard,requires-series-validation
New Zealand in Bangladesh ODI Series 2026,24245,https://site.api.espn.com/apis/site/v2/sports/cricket/24245/scoreboard,requires-series-validation
India Women in South Africa T20I Series 2026,24232,https://site.api.espn.com/apis/site/v2/sports/cricket/24232/scoreboard,requires-series-validation
New Zealand A in Sri Lanka unofficial Test Series 2026,24292,https://site.api.espn.com/apis/site/v2/sports/cricket/24292/scoreboard,requires-series-validation
Scotland in Namibia T20I Series 2026,24277,https://site.api.espn.com/apis/site/v2/sports/cricket/24277/scoreboard,requires-series-validation
Australia Women in South Africa Test Match 2026/27,24560,https://site.api.espn.com/apis/site/v2/sports/cricket/24560/scoreboard,requires-series-validation
Sweden in Indonesia T20I Series 2026,24304,https://site.api.espn.com/apis/site/v2/sports/cricket/24304/scoreboard,requires-series-validation
